review,sentiment
jak najbardziej polecam,1
Polecam,1
"Peugeot to słaby ,,Partner"" gdybym miał wybrać wygodne i silne auto to jakiegoś niemca czyli Mercedesa albo Audi lub Volksvagen...",0
.,1
jestem zadowolony z autka ,1
nie wiem od czego zacząć ale tak naprawdę usuwając jedną usterkę pojawia się następna ,0
"Dzisiaj przy tych cenach części, jako auto dla żony czy pierwsze dla młodego kierowcy ze sportowym zacięciem, jak najbardziej.",1
Samochód super ale : zawieszenie !,0
ok,1
Super auto polecam.,1
Bardzo dobry,1
"Porostu ładny tani samochód, jakość wykończenia adekwatna do ceny, oszczędność na bezpieczeństwie przeważa na zakupem tego auta ",0
Można jeździć ale to tylko opel,0
"samochód przestronny,rodzinny,z wyposażeniem podnoszącym komfort",1
Fajny samochód do jazdy po mieście ale nie jest to auto rodzinne potrzebujewiększe,0
Super retro auto między T4 a T5 wybór prosty T4 ‰%%%%%%%%%%%%%%%%%%%%‰%%%%%%%%%%%%%%%%%%%,1
Stare combo były o niebo lepsze ,0
Bardzo dobre,1
fajne autko ale ogolnie nie polecam,0
"dobrze utrzymane, układ hamulcowy wymieniony, akumulator nowy, ogumienie letnie nowe",1
"każda firma oceniana jest na podstawie poprzednich modeli,tempra niestety jest lepsza od Bravy.nie mam pojęcia kogo fiat zatrudnia,ale powinien pomysleć,choc trochę.",0
W tej cenie nie ma sobie równych.,1
Męczyłem się z tym autem przez 8 lat.Pochłonęło masę pieniędzy aż w końcu pochłonęła je rdza. Polecam zdesperowanym pasjonatom dużą ilością pieniędzy na paliwo i naprawy.,0
następnego nie kupię a swojego chętnie sprzedam - pozdrawiam,0
"ja mam peugota 1,8 xt jest to rocznik 1994 i niewiem czemu zaczol palic duzo paliwa:<",0
Pieniadze wyrzucone w bloto,0
dla dzieci i idiotów to nie jest dobre auto !,1
jak by nie rdza to jest okej prowadzi się dobrze,0
Nie polecam,0
Polecam wszystkim ,1
"Gdyby nie ta toporność i sztywność, byłoby całkiem przyjemnie. Do pracy się nadaje, ale do użytku osobistego nie polecam.",0
"coś za coś, japońska trwałość i oryginalny design kosztem wysokiego spalania i nieco za małej pojemności bagażnika.",1
"średni samochód, nastepnym razem będę szukał czegoś innego (Kia, jakis Opel)",0
"wiele niedociągnięć projektanta i wykonawcy, aczkolwiek wygląd z zewnątrz super",0
Bardzo dobry solidny samochod. Silnik 2.2td 178km automat.naped na cztery . Polecam,1
Polecam wszystkim szukającym komfortu i pojemności. Dynamiczny i oszczędny silnik. ,0
Komfort jazdy ,0
"Silnik dopiero po odwiedzinach w V-tech, działa jak należy.",0
Fajne auto. Polecam ,1
auto w bardzo dobrym stanie,1
CHE CHE niemożna wybrać że nie kupił bym tego samochodu.... NIE KUPIŁ BYM PONOWNIE. ,0
jak najbardziej,1
WART POLECENIA,1
Auto rodzinne i w tym charakterze dobrze się sprawdza ,1
mały miejski samochód ,1
"VW TIGUAN autko godne polecenia, idealne dla rodziny.",0
Mocna nie korozyjna karoseria,1
"Fajne auto Ale ma pewne defekty osprzęt turbo elektryczny, podszybie reflektory słabej jakości wzmocnienia zawiasów wyrywają się. ",1
Fajny samochód lecz nastepnym razem juz bym nie kupił.,0
Polecam tylko trzeba wszystko robić i wymieniać w odpowiednim czasie ,1
"Na serwis samochodu wydałem od 2 lat ok 10 tys zł. Generalny remont silnika, turbina, dwumasa, droba elektronika, w zasadzie co chwile coś się dzieje. Nie polecam nikomu",0
zbyt szybkie zużycie części silnika,0
"SPRAWIA , ŻE JAZDA JEST PRZYJEMNOŚCIĄ",1
Polecam dla rodzin. Tanie części pakowny komfortowy spalanie bardzo dobrze ,1
szkoda pisać to tylko skoda więc zanim kupisz zastanów się bo to auto dla przeciętnego kowalskiego ,0
"Ogólnie polecam do 150 tyś. km bez problemu, bez napraw. Później trzeba odnowić wóz co wiąże się z kosztem kilkunastu tysięcy - ale jedziemy dalsze 100 tyś. km",1
ok,1
"autko typowo ""do pracy i z powrotem""",0
kupie to auto jeszcze raz,1
Najważniejsze to że samochód jest bezawaryjny. Dobre fotele. Przeszkadza mi za duże spalanie i słabe wytłumieniei. Na baku 50 litrów moge przejechać tylko 500-550 km.,0
"Autko dość przyjemne, niestety, dość drogie w utrzymaniu - ciągłe wizyty w serwisie, wysokoe spalanie, właściwie porównywalne z Polonezem.",0
"Auto naprawdę świetna mimo kilku wad i irytujących przypadłości (np nawigacja). Ładna sylwetka, duże wygodny sedan (bagażnik bardzo duży). Co najważniejsze to silnik, rewelacja",1
Dobre tanie auto;),0
słaby silnik hałas,0
"ŁADNE Z WYGLADU AUTO MIEJSKIE , BARDZO MAŁA DYNAMIKA SILNIKA , WYGODNE PRZY MAŁYCH DYSTANSACH , NA DALSZA PODRÓZ TYLKO DLA DWÓCH OSÓB",0
"Auto raczej na krótkie dystanse, świetne do miasta. W segmencie A myślę, że najlepszy wybór.",1
Polecam,1
"Dużo ""małych"" ale dokucznych problemów - raczej nie kupię drugi raz Kangoo",0
Jak lubisz bawic sie w mechanika albo jezdzic do zaprzyjaznionego wydac troszeczke kasy to polecam:),0
Fajne auto dla rodzinki z małymi dziećmi. Robi mega wrażenie na każdym i przyjemność z podróżowania na dłuższych trasach.,1
katastrofa auto wadliwe nie polecam,0
"Głośny silnik, kiepskie plastiki... kupiłbym raz jeszcze, ale tylko jako ""drugi"" samochód, na trasy miejskie. W ""terenie"" lub na bardzo dziurawych drogach nie sprawdza się absolutnie.",0
"Polecam jako SUV, wygodny, dynamiczny za rozsądną cenę.",1
"warte uwagi jesli serwis na czas,ten egzemplarz serwisowany w oplu według książki",1
"spalanie to pojęcie względne, zależne od miasta a szczególnie od korków ;trasa zaś ,autostrada ,obwodnica no i szybkość",0
nie kupiłabym tego auta ponownie ,0
"o""k",1
"Polecam, auto spoko, ładnie się zbiera i oszczedne trwałe blachy. ",1
Jest pewien niedosyt.,0
Auto godne polecenia ,1
Warto kupić,1
"auto jako rodzinne pod względem ilości miejsca w środku, wygody i pakowności rewelacyjne, prowadzenie dynamika przyjemne, rozrząd w silniku PORAŻKA",0
"- gdy ciepły silnik często trzeba odpalać ""na pycha"" - psują sie klamki (szczególnie zimą), często do wymiany",0
"samochod z najgorszym silnikiem opla duzo pali awaryjny ,korozja nadwozia",0
"nowe ducato odbiega jakością jaką miało do tej pory, mało pozostało z aut z poprzedniej generacji , nie wspominając aut do 2010 r ",0
NIEZAWODNY SILNIK,1
gdyby nie czeste awarie silnika auto było by godne polecenia.....,0
Ladnie wyglada fajnie jezdzi ale psuje sie na potęgę ,0
Dobrze ze auto na gwarancji to wszystkie wady mojego samochodu zostaly naprawione Ogolnie polecam ,1
miernota,0
"Autko zgrabne, piękne i powabne ;) niski koszt eksploatacji, dobry silnik, idealne na dojazd do pracy. Minusem mało miejsca, mały bagażnik i mulenie w czasie jazdy pod wzniesienie. ",1
Polecam dla singli i osób z max 1 dzieckiem. Moc drzemie w tym aucie,0
Lepsza zdecydowanie vectra bo pomimo iż leciwa ,0
"Bardzo dobre autko dla dwojga z dzieckiem.Cichy , mało pali na trasie,koszty eksploatacyjne niskie,",1
"Ciekawy samochód, ale dla mnie kiepskie zawieszenie",0
"nie polecam, ciagle sie psul i ciesze sie ze sie go pozbylam ",0
"auto dobre w jezdzie miejskiej i na krotkich trasach.wygodne fotele,silnik i skrzynia biegow bezawaryjna.Mankamentem jest szwankujaca elektronika",1
Ok ,1
"Po zainstalowaniu LPG można tym latać bez końca, dobre auto.",1
