review,sentiment
"Auto udane, tanie w eksploatacji, bardzo trwały, tanie części zamienne",1
NIE POLECAM,0
"mialem takie autko peugeot 106 1,4D 1994 r , super bryka, fajnie sie prowadzi, jest bardzo ekonomiczne, dla mnie bomba.",1
1.7diesel w kombiaku wiekowy ale mnie nie zawodzi.Rocznik 89 jedyny feler to brak wspomagania reszta ok,1
dosyć głośno wewnątrz ,0
Zapomniałem dodac opini.,1
KUPIŁBYM BENZYNĘ A NIE Diesla,0
"Super autko. Cudowne wnętrze, super silnik 2.7 V6 Sama przyjemność z jazdy. Pochwały dla koreańczyków za jakość wykonania. ",1
"Na dojazdy do pracy, krótkie trasy - ok. Dalsze podróże - męczarnia. Trasa do Anglii, 2000 km, 30 godzin jazdy. W głowie huczało jak we młynie.",0
"Mam Mazde 626 z 2002r Silnik 2.0 TDI 110KM Wszystko super ale auto bardzo slabo przyspiesza.Podobno tak ma byc,ale czekam na opinie innych",1
"ten samochód to istna tragedia, nigdy więcej stilo. Fiaty to fajne samochody ale stilo to ich wrzod na tyłku",0
P306XN 95r 1.4 Przydałby się 1.6 ten jak jest obciążony to trochę brakuje mocy Praktycznie bezawaryjny,1
Samochód jak dla mnie za bardzo awaryjny. ,0
"Bardzo dobre, małe i sympatyczne autko. Polecam",1
Fajne Autko ale nie warte więcej niż 1500 zł :) ,0
Bardzo dobre auto,0
"super auto,210 km robi wrazenie, trochę dzwonia szyby na nierównosciach,no ale polskie drogi,niezawodny oprócz typowych problemów renault jak np. tarcze hamulcowe",1
"Mam focusa 1,8 16v z 1999, chodzi jak burza, jedyne zastrzeżenie to spalanie, jednak przy dynamicznej (w miarę) jeździe jego apetyt na benzynkę jest duży.",1
Samochód z założenia miał być budżetowy... i jest,0
byle jaki,0
Samochód jest naprawdę super. Jeżdżę Clio II z 1997 r. i leję do niego tylko benzynę i wymieniam olej. ŻADNEJ AWARII do tej pory!!! Naprawdę POLECAM.,1
sprzedałam własnie lupo 1.0 2002 rok autko ciche bezawaryjne troszke dużo pali super trzyma sie drogi lepiej niz niejeden duży wóz super do jeżdzenia do pracy ale nie na długa trase ,1
Generalnie przereklamowany,0
"Mam Golfa 1,6 Diesla z 86 roku ma 198tys, spala 5L/100km po mieście.Jeżdze od roku i jest super zero awari a ma już prawie 20 lat.",1
Good ,1
fajny wóz,0
"W modelach Opel Kadett, po 10 latach w prawie kazdym modelu, rdzewieja tylne nadkola. Raz na kilka lat problemy z elektronicznymi modulami zaplonu. Poza tym samochod prawie niezawodny!!",1
to mój drugi samochód tej generacji VW następny kupię młodszy ale też GOLFA III,1
nie zabardzo rozumie oco chodzi panu z tym oznaczeniem pasata a tak ogulnie TDI 1.9 niebałbym się rzadnego polecam,1
nigdy wiecej,0
Nie polecam tego autka nikomu. Więźniow powinno sie tym przewozic jako kare,0
wolę go niż L200 - jak dzień do nocy,1
golfik 3 z silnikiem TDI to bardzo dobra inwestycja pod warunkiem ze nigdy nie byl uszkodzony!! ,1
"Mar michal - odp. ci w rubryce Astry, gdzie pisałeś :)",1
samochód dla kobiet,0
"Ciekawy samochód, ale dla mnie kiepskie zawieszenie",0
"Generalnie auto przyjemne,ale nie kupił bym go po raz drugi.",0
"Fajne autko, dużo wad i duża utrata wartości, zła opinia o silnikach 1,4 TSI 160KM",0
"Mam pytanie :czy można zamontowa gaz do kappy 2.0 benzyna , i jakie macie opinie o tym rozwiazaniu ? Jacek",1
"Nie polecam, to już stary samochód, szukajcie czegoś lepszego",0
Zdaleka od renault,0
paliwożerny i problematyczny!,0
Ogólnie moje odczucia są dobre.Szkoda że silnik 1.2 jest trochę słaby na dalsze wyjazdy ,1
"Mój samochodzik ma 49500 km przebiegu. Od początku nie zepsuło się kompletnie nic. Wszytko działa bez zarzutu, mało pali, super przyspiesza i wszędzie się zmieści.",1
brak zastrzeżeń oprócz skrzyni biegów,1
drugi raz nie kupiłbym tego auta,0
jak na takie pieniądze mogło byc lepiej,0
"Posiadam astre 1,6 benz/gaz spala 9,5 l gazu w mieście. jest trochę głośna w środku przez duży bagażnik który rezonansuje wszystkie dźwieki. pozatym kiepskie zawieszenie ",1
Zajebisty wózek,1
Jeżeli kupować citroena używanego to tylko z gwarancją CITROEN SELECT na min 2 lata,0
Fabia to dobre auto. Nie mam nic do zarzucenia. Wszystko chdzi bez zarzutów. ,1
Wole japońca mam toyote 17l i tylko olej mnie interesuje co roku i nic a mam 230tys przejechane,0
"Bardzo rdzewieje, nieustannie jakaś żarówka do wymiany - to najczęstsze problemy, Ale poważnie nigdy mnie nie zawiódł ani w mieście ani na trasie, ani w największe zimy.",0
"Zaskoczyła mnie ta awaria w drugim roku eksploatacji tak poważna awaria, chociaż zdarzają się także wymiany silników w pierwszym roku.",0
ogólnie ok,0
"Samocod o dużej przestrzeni wewnątrz, lecz elektronika poraża awaryjnością.",0
auto jak na swoje lata jest ideolo pelne gracji wdzieku a zarazem agresywne. szybkie zwinne nie to co golfy hehe polecam te malo znane auta mlodym kierowcom,1
dobry,1
"ja mam peugota 1,8 xt jest to rocznik 1994 i niewiem czemu zaczol palic duzo paliwa:<",0
samochód fajny ,0
"Witam posiadamVw T4 2,4D 95r najechane ma 430tys nie kopci nie bierze oleju jeszcz ze 400tys przejade zero awarji co 70tys wymiana wszystkich końcówek z przodu w tym kraju polecam!!!!!!!!!!!",1
"mam 2.0Tdci z 2003 po tuningu silnika z 130PS na ok.170PS cos wspanialego tylko ciagle cos sie psuje ksenony,wtryskiwacz,korozja na drzwiach (gwarancja)ale jezdzi swietnie ",1
19 kupiłem dwa tygodnie temu.Po dwukrotnym zatankowaniu stwierdziłem że pali jak smok wawelski.Okazało się że był uszkodzony katalizator po wymianie pali ok!Poza tym przyjemne i wygodne autko. ,1
"Jeśli ktoś posiada niewielkie fundusze, a chce posiadać kombi w dieslu, to czemu nie. Polecam modele w dobrym wyposażeniu, np. podgrzewane siedzenia, tempomat itd. ",0
mam nissana primere p 10 1995 przebieg 200 jak do tej pory bez awari jest super tylko ten gaz ,1
"Auto oceniam na średnim poziomie, dotychczasowa dziewięcioletnia eksploatacja na tyle mnie zmęczyła, że zdecydowałem auto w tym roku sprzedać. Nazbyt hałaśliwe i średnio-wygodne.",0
"Mając do wyboru Tipo lub kay inny , wybieram to drugie",0
"Małe sympatyczne autko idealne do jazdy po mieście, niestety ma ogromny apetyt na paliwo",1
Jest to już drugi mój golf jestem zadowolony.,1
kiepskie auto francuzkie,0
"tylko gumy standard, zadne szerokie. Bayer full z jazdy ale tyko an nowej nawiezrchni. na nasze drogi fatalna do jazdy. No ale cos za cos",1
"Auto świetnie się prowadzi, wygodne, napęd zimą rewelacja, ale blacharka i silnik do kitu.",0
NAJLEPSZE AUTO ,1
"Kia Spectra 1,6 40000 tys bardzo dobry samochód",1
nie polecam,0
"średni samochód, nastepnym razem będę szukał czegoś innego (Kia, jakis Opel)",0
takie sobie autko ale słabej jakiści,0
"mam paska 91 2,0 115 KM TEN SILNIK NIE ZNOSI GAZU MOJ PALI NA TRASIE6 LITROW A PO MIESCIE 7,5 DO 8 LITROW A W OGOLE JEST OK.",1
"mam brave 99' sx1,2 16v jak dotąd wszystko w porządku,ale teraz po uruchamianiu ma duże obroty do 3500 tys.i opadaja po przejechaniu paru kilometrów może ktos miał to samo ?",1
wygląda jakby płakał jakby zabrać rejestracje to i mordka sie zgadza,0
najlepszy samochód jaki miałem,1
"auto prowadzi się z przyjemnością, wygodne, dobrze wyposażone, wadą jest zawieszenie(wadliwe), polecam silnik 2,5 tds",1
"ogólnie samochód należy ocenić pozytywnie, są pewne mankamenty, ideałów nie ma, nie kupiłbym go ponowie nie z powodu jakichś wad ale po prostu potrzebuję wiekszego samochodu np. suva",0
Ogólne polecam ten samochód .Bardzo wytczimali.Rziadko się psuje.Tylko mógłby być trochę żwawszy mój się rozpędza do 120km Może i przez to właśnie się rziadko psuje :),0
"bardzo dobrze sie jezdzi,silnik zwawy,nie ma klopotu z wyprzedzaniem,na zakretach sztywny,w srodku bardzo wygodny ",1
dno,0
dzięki archaicznej konstrukcji w miarę żywotne,0
być może jak się do niego przyzwyczję to zmienię zdanie,0
Samochód z założenia miał być budżetowy... i jest,0
Dno dno i złom,0
"samochod z najgorszym silnikiem opla duzo pali awaryjny ,korozja nadwozia",0
auto godne polecenia.,1
5 osob zero przyjemnosci z jazdy,0
